LAMMPS (2 Aug 2023 - Update 1)
Reading data file ...
  orthogonal box = (0 0 0) to (34.9641 31.7217 30)
  3 by 2 by 1 MPI processor grid
  reading atoms ...
  157 atoms
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  reading bonds ...
  2 bonds
  reading angles ...
  1 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.006 seconds
3 atoms in group water
Setting atom values ...
  1 settings made for charge
Setting atom values ...
  2 settings made for charge
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/smooth/linear, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
WARNING: Dump mydump includes no atom IDs and is not sorted by ID. This may complicate post-processing tasks or visualization (../dump.cpp:221)
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.595 | 6.641 | 6.866 Mbytes
     Time         Step          Temp         c_Twater        PotEng         KinEng         TotEng       Ndanger      c_COM[1]       c_COM[2]       c_COM[3]   
 159               159000   0.81056088     56.366189     -0.066886102    0.016344622   -0.05054148             0   26.7669        17.416931      11.497511    
 160               160000   0.46773216     32.704053     -0.058256621    0.0094316238  -0.048824997            0   26.58684       17.308724      11.607389    
 161               161000   0.54148125     25.562417     -0.059781945    0.010918743   -0.048863201            0   26.445092      17.373895      11.600735    
 162               162000   1.5901568      95.591609     -0.055384797    0.032064849   -0.023319948            0   26.341347      17.201743      11.759255    
 163               163000   0.95969799     55.058333     -0.054285929    0.01935191    -0.03493402             0   26.563924      17.301921      11.827113    
 164               164000   0.33695849     20.285452     -0.061163815    0.0067946274  -0.054369188            0   26.458244      17.172484      11.499149    
 165               165000   0.731022       37.35136      -0.062737861    0.014740754   -0.047997108            0   26.541425      17.420744      11.455038    
 166               166000   0.56278965     40.567319     -0.065285205    0.011348418   -0.053936787            0   26.814801      17.312259      11.487028    
 167               167000   0.50979444     26.851852     -0.043215161    0.010279792   -0.032935369            0   26.375495      17.262014      11.46588     
 168               168000   0.72299816     47.315922     -0.044226536    0.014578956   -0.02964758             0   26.56126       16.837211      11.570599    
 169               169000   0.60450269     23.641664     -0.050016451    0.012189545   -0.037826906            0   26.394442      17.42538       11.73522     
 170               170000   1.111087       69.906575     -0.052972119    0.022404605   -0.030567514            0   26.33408       17.979163      11.620372    
 171               171000   0.4300497      25.543171     -0.058338673    0.0086717726  -0.0496669              0   26.35036       17.428516      11.543603    
 172               172000   0.5234614      20.111191     -0.066565613    0.010555381   -0.056010233            0   26.670736      17.303587      11.587173    
 173               173000   0.76139391     54.743825     -0.055234397    0.01535319    -0.039881207            0   26.557482      17.148863      11.696009    
 174               174000   1.0636499      74.052956     -0.05398378     0.021448057   -0.032535724            0   26.622662      17.625059      11.527633    
 175               175000   0.87761095     28.532089     -0.057286055    0.017696659   -0.039589397            0   26.546231      17.075844      11.706078    
 176               176000   1.1968557      85.255318     -0.043042646    0.024134095   -0.018908551            0   26.174117      18.117665      11.8636      
 177               177000   0.73497355     43.013868     -0.052193107    0.014820435   -0.037372672            0   25.690577      18.547748      11.557912    
 178               178000   0.7165767      46.320274     -0.05960327     0.01444947    -0.0451538              0   25.884084      18.976046      11.555166    
